Treatment,treat,Group,Aperture
Red light,30mM,F,1.792
Red light,30mM,F,1.725
Red light,30mM,F,2.469
Red light,30mM,F,2.043
Red light,30mM,F,2.132
Red light,30mM,F,1.277
Red light,30mM,F,1.482
Red light,30mM,F,0.562
Red light,30mM,F,1.534
Red light,30mM,F,4.569
Red light,30mM,F,1.671
Red light,30mM,F,1.638
Red light,30mM,F,2.085
Red light,30mM,F,1.601
Red light,30mM,F,2.504
Red light,30mM,F,2.414
Red light,30mM,F,2.823
Red light,30mM,F,3.204
Red light,30mM,F,2.45
Red light,30mM,F,1.959
Red light,30mM,F,3.102
Red light,30mM,F,3.475
Red light,30mM,F,4.853
Red light,30mM,F,3.19
Red light,30mM,F,1.649
Red light,30mM,F,3.18
Red light,30mM,F,2.86
Red light,30mM,F,3.337
Red light,30mM,F,3.198
Red light,30mM,F,1.733
Red light,30mM,F,2.365
Red light,30mM,F,1.776
Red light,30mM,F,0.838
Red light,30mM,F,0.819
Red light,30mM,F,1.225
Red light,30mM,F,1.43
Red light,30mM,F,2.091
Red light,30mM,F,1.853
Red light,30mM,F,3.944
Red light,30mM,F,2.543
Red light,30mM,F,3.056
Red light,30mM,F,2.025
Red light,30mM,F,2.066
Red light,30mM,F,2.136
Red light,50mM,G,0.998
Red light,50mM,G,1.033
Red light,50mM,G,1.307
Red light,50mM,G,1.966
Red light,50mM,G,0.549
Red light,50mM,G,2.026
Red light,50mM,G,1.041
Red light,50mM,G,1.519
Red light,50mM,G,0.717
Red light,50mM,G,1.513
Red light,50mM,G,1.367
Red light,50mM,G,1.847
Red light,50mM,G,1.036
Red light,50mM,G,0.694
Red light,50mM,G,0.6
Red light,50mM,G,1.61
Red light,50mM,G,1.432
Red light,50mM,G,1.905
Red light,50mM,G,2.254
Red light,50mM,G,2.625
Red light,50mM,G,0.453
Red light,50mM,G,1.649
Red light,50mM,G,5.383
Red light,50mM,G,2.789
Red light,50mM,G,2.082
Red light,50mM,G,4.814
Red light,50mM,G,0.307
Red light,50mM,G,0.397
Red light,50mM,G,0.666
Red light,50mM,G,0.888
Red light,50mM,G,1.822
Red light,50mM,G,0.679
Red light,50mM,G,0.732
Red light,50mM,G,1.084
Red light,50mM,G,4.152
Red light,50mM,G,0.866
Red light,50mM,G,1.467
Red light,50mM,G,1.103
Red light,50mM,G,1.507
Red light,50mM,G,1.68
Red light,50mM,G,0.894
Red light,50mM,G,0.333
Red light,50mM,G,1.163
Red light,50mM,G,1.132
Red light,50mM,G,1.498
Red light,50mM,G,0.889
Red light,50mM,G,1.468
Red light,50mM,G,0.471
Red light,50mM,G,1.515
Red light,50mM,G,1.27
Red light,50mM,G,1.57
Red light,50mM,G,3.222
Red light,50mM,G,1.851
Red light,50mM,G,2.043
Red light,50mM,G,2.375
Red light,50mM,G,3.202
Red light,50mM,G,3.736
Red light,50mM,G,5.005
Red light,50mM,G,4.132
Red light,50mM,G,3.505
Red light,50mM,G,1.901
Red light,50mM,G,2.525
Red light,50mM,G,0.732
Red light,50mM,G,0.447
Red light,50mM,G,0.776
Red light,50mM,G,2.83
Red light,50mM,G,1.644
Red light,50mM,G,2.233
Red light,50mM,G,0.628
Red light,50mM,G,1.257
Red light,50mM,G,1.672
Red light,50mM,G,3.353
Red light,50mM,G,1.821
Red light,50mM,G,1.702
Red light,50mM,G,1.734
Red light,50mM,G,1.571
Red light,50mM,G,1.234
Red light,50mM,G,2.234
Red light,50mM,G,1.75
Red light,50mM,G,1.831
Red light,50mM,G,1.626
Red light,50mM,G,0.925
Red light,50mM,G,1.52
Red light,50mM,G,1.192
Red light,50mM,G,0.622
Red light,50mM,G,0.942
Red light,50mM,G,1.192
Red light,50mM,G,4.331
Red light,50mM,G,1.312
Red light,50mM,G,1.404
Red light,50mM,G,2.331
Red light,50mM,G,0.666
Red light,50mM,G,2.292
Red light,50mM,G,1.812
Red light,50mM,G,2.886
Red light,50mM,G,0.854
Red light,50mM,G,2.743
Red light,50mM,G,0.444
Red light,50mM,G,0.622
Red light,50mM,G,1.199
Red light,50mM,G,2.025
Red light,50mM,G,1.465
Red light,50mM,G,0.562
Red light,100mM,H,1.59
Red light,100mM,H,2.327
Red light,100mM,H,2.088
Red light,100mM,H,1.497
Red light,100mM,H,2.86
Red light,100mM,H,2.212
Red light,100mM,H,1.977
Red light,100mM,H,4.36
Red light,100mM,H,1.243
Red light,100mM,H,3.179
Red light,100mM,H,1.981
Red light,100mM,H,1.113
Red light,100mM,H,2.772
Red light,100mM,H,1.455
Red light,100mM,H,0.259
Red light,100mM,H,0.628
Red light,100mM,H,0.603
Red light,100mM,H,0.14
Red light,100mM,H,2.135
Red light,100mM,H,0.813
Red light,100mM,H,0.853
Red light,100mM,H,1.066
Red light,100mM,H,0.748
Red light,100mM,H,0.659
Red light,100mM,H,0.619
Red light,100mM,H,1.163
Red light,100mM,H,0.266
Red light,100mM,H,0.537
Red light,100mM,H,0.981
Red light,100mM,H,1.201
Red light,100mM,H,1.432
Red light,100mM,H,2.003
Red light,100mM,H,1.604
Red light,100mM,H,1.237
Red light,100mM,H,0.888
Red light,100mM,H,0.603
Red light,100mM,H,1.4
Red light,100mM,H,0.802
Red light,100mM,H,1.708
Red light,100mM,H,2.22
Red light,100mM,H,0.537
Red light,100mM,H,0.226
Red light,100mM,H,0.4
