Treatment,treat,Group,Aperture
Red light,0mM,C,1.87
Red light,0mM,C,1.61
Red light,0mM,C,0.694
Red light,0mM,C,2.198
Red light,0mM,C,3.677
Red light,0mM,C,3.918
Red light,0mM,C,2.387
Red light,0mM,C,2.754
Red light,0mM,C,4.032
Red light,0mM,C,3.044
Red light,0mM,C,2.653
Red light,0mM,C,1.404
Red light,0mM,C,1.013
Red light,0mM,C,1.457
Red light,0mM,C,0.537
Red light,0mM,C,2.088
Red light,0mM,C,1.539
Red light,0mM,C,2.629
Red light,0mM,C,1.743
Red light,0mM,C,1.356
Red light,0mM,C,2.998
Red light,0mM,C,0.759
Red light,0mM,C,3.045
Red light,0mM,C,2.943
Red light,0mM,C,1.669
Red light,0mM,C,4.006
Red light,0mM,C,1.394
Red light,0mM,C,2.782
Red light,0mM,C,3.222
Red light,0mM,C,1.894
Red light,0mM,C,1.812
Red light,0mM,C,0.546
Red light,0mM,C,3.28
Red light,0mM,C,1.14
Red light,0mM,C,2.603
Red light,0mM,C,1.465
Red light,0mM,C,1.236
Red light,0.4mM,D,2.508
Red light,0.4mM,D,4.939
Red light,0.4mM,D,2.678
Red light,0.4mM,D,3.992
Red light,0.4mM,D,2.402
Red light,0.4mM,D,1.745
Red light,0.4mM,D,1.73
Red light,0.4mM,D,2.343
Red light,0.4mM,D,2.465
Red light,0.4mM,D,1.015
Red light,0.4mM,D,1.946
Red light,0.4mM,D,2.185
Red light,0.4mM,D,1.356
Red light,0.4mM,D,2.305
Red light,0.4mM,D,1.709
Red light,0.4mM,D,1.69
Red light,0.4mM,D,4.271
Red light,0.4mM,D,2.821
Red light,0.4mM,D,2.066
Red light,0.4mM,D,2.617
Red light,0.4mM,D,1.777
Red light,0.4mM,D,2.045
Red light,0.4mM,D,2.782
Red light,0.4mM,D,1.84
Red light,0.4mM,D,1.201
Red light,0.4mM,D,2.705
Red light,0.4mM,D,1.353
Red light,0.4mM,D,1.709
Red light,0.4mM,D,2.306
Red light,0.4mM,D,3.244
Red light,0.4mM,D,2.51
Red light,0.4mM,D,1.956
Red light,0.4mM,D,1.798
Red light,0.4mM,D,1.882
Red light,0.4mM,D,2.9
Red light,0.4mM,D,1.895
Red light,0.4mM,D,1.776
Red light,0.4mM,D,2.325
Red light,0.4mM,D,3.167
Red light,0.4mM,D,2.986
Red light,0.4mM,D,2.695
Red light,0.4mM,D,1.394
Red light,0.4mM,D,2.066
Red light,0.4mM,D,2.715
Red light,0.4mM,D,1.759
Red light,0.4mM,D,2.67
Red light,0.4mM,D,2.191
Red light,0.4mM,D,1.581
Red light,0.4mM,D,2.205
Red light,0.4mM,D,3.015
Red light,0.4mM,D,4.808
Red light,0.4mM,D,2.22
Red light,0.4mM,D,2.217
Red light,0.4mM,D,3.643
Red light,0.4mM,D,1.959
Red light,0.4mM,D,3.139
Red light,0.4mM,D,1.07
Red light,0.4mM,D,1.583
Red light,0.4mM,D,2.738
Red light,0.4mM,D,3.597
Red light,0.4mM,D,1.297
Red light,0.4mM,D,3.404
Red light,0.4mM,D,3.326
Red light,0.4mM,D,1.842
Red light,0.4mM,D,0.76
Red light,0.4mM,D,3.622
Red light,0.4mM,D,1.973
Red light,0.4mM,D,2.665
Red light,0.4mM,D,1.391
Red light,0.4mM,D,2.22
Red light,0.4mM,D,0.721
Red light,0.4mM,D,1.519
Red light,0.4mM,D,2.292
Red light,0.4mM,D,1.737
Red light,0.4mM,D,2.473
Red light,0.4mM,D,1.478
Red light,0.4mM,D,1.936
Red light,0.4mM,D,2.261
Red light,0.4mM,D,2.559
Red light,0.4mM,D,0.925
Red light,0.4mM,D,0.97
Red light,0.4mM,D,2.501
Red light,0.4mM,D,1.074
Red light,0.4mM,D,1.81
Red light,0.4mM,D,2.776
Red light,0.4mM,D,1.671
Red light,0.4mM,D,2.587
Red light,0.4mM,D,1.812
Red light,0.4mM,D,1.884
Red light,0.4mM,D,3.605
Red light,0.4mM,D,5.213
Red light,0.4mM,D,2.242
Red light,0.4mM,D,3.426
Red light,0.4mM,D,1.424
Red light,0.4mM,D,2.925
Red light,0.4mM,D,3.068
Red light,0.4mM,D,4.435
Red light,0.4mM,D,2.612
Red light,0.4mM,D,1.421
Red light,0.4mM,D,4.924
Red light,0.4mM,D,3.343
Red light,0.4mM,D,4.045
Red light,0.4mM,D,1.252
Red light,0.4mM,D,1.956
Red light,0.4mM,D,1.785
Red light,0.4mM,D,2.119
Red light,0.4mM,D,2.079
Red light,0.4mM,D,1.383
Red light,0.4mM,D,1.257
Red light,0.4mM,D,1.967
Red light,0.4mM,D,2.388
Red light,0.4mM,D,1.829
Red light,0.4mM,D,1.94
Red light,0.4mM,D,3.945
Red light,0.4mM,D,3.816
Red light,0.4mM,D,2.81
Red light,0.4mM,D,1.928
Red light,0.4mM,D,4.09
Red light,0.4mM,D,3.11
Red light,0.4mM,D,3.926
Red light,0.4mM,D,1.074
Red light,0.4mM,D,2.325
Red light,0.4mM,D,1.311
Red light,0.4mM,D,5.013
Red light,0.4mM,D,4.711
Red light,0.4mM,D,3.034
Red light,0.4mM,D,2.86
Red light,0.4mM,D,6.053
Red light,0.4mM,D,3.362
Red light,0.4mM,D,1.899
Red light,0.4mM,D,4.183
Red light,0.4mM,D,1.87
Red light,0.4mM,D,3.768
Red light,0.4mM,D,5.063
Red light,1mM,E,3.09
Red light,1mM,E,2.472
Red light,1mM,E,3.659
Red light,1mM,E,2.858
Red light,1mM,E,3.585
Red light,1mM,E,2.904
Red light,1mM,E,2.52
Red light,1mM,E,2.809
Red light,1mM,E,2.741
Red light,1mM,E,3.512
Red light,1mM,E,3.071
Red light,1mM,E,0.819
Red light,1mM,E,2.106
Red light,1mM,E,2.407
Red light,1mM,E,2.314
Red light,1mM,E,2.206
Red light,1mM,E,2.205
Red light,1mM,E,2.064
Red light,1mM,E,3.066
Red light,1mM,E,2.052
Red light,1mM,E,1.165
Red light,1mM,E,2.148
Red light,1mM,E,1.946
Red light,1mM,E,2.081
Red light,1mM,E,1.146
Red light,1mM,E,3.91
Red light,1mM,E,1.913
Red light,1mM,E,2.199
Red light,1mM,E,2.217
Red light,1mM,E,1.885
Red light,1mM,E,1.51
Red light,1mM,E,1.812
Red light,1mM,E,3.439
Red light,1mM,E,2.234
Red light,1mM,E,5.281
Red light,1mM,E,2.06
Red light,1mM,E,1.404
Red light,1mM,E,3.658
Red light,1mM,E,3.032
Red light,1mM,E,1.638
Red light,1mM,E,6.129
Red light,1mM,E,2.719
Red light,1mM,E,2.488
Red light,1mM,E,5.596
Red light,1mM,E,2.801
Red light,1mM,E,3.716
Red light,1mM,E,2.254
Red light,1mM,E,3.482
Red light,1mM,E,1.688
Red light,1mM,E,2.866
Red light,1mM,E,3.908
Red light,1mM,E,2.734
Red light,1mM,E,3.715
Red light,1mM,E,2.765
Red light,1mM,E,2.827
Red light,1mM,E,1.827
Red light,1mM,E,3.648
Red light,1mM,E,3.643
Red light,1mM,E,2.111
Red light,1mM,E,4.429
Red light,1mM,E,2.624
Red light,1mM,E,2.36
Red light,1mM,E,1.885
Red light,1mM,E,2.277
Red light,1mM,E,1.373
Red light,1mM,E,3.12
Red light,1mM,E,1.732
Red light,1mM,E,2.747
Red light,1mM,E,1.842
Red light,1mM,E,2.893
Red light,1mM,E,2.968
Red light,1mM,E,3.685
Red light,1mM,E,2.025
Red light,1mM,E,2.228
Red light,1mM,E,2.238
Red light,1mM,E,3.242
Red light,1mM,E,2.984
Red light,1mM,E,1.794
Red light,1mM,E,4.017
Red light,1mM,E,1.621
Red light,1mM,E,2.512
Red light,1mM,E,2.354
Red light,1mM,E,3.2
Red light,1mM,E,3.835
Red light,1mM,E,2.34
Red light,1mM,E,2.008
Red light,1mM,E,3.505
Red light,1mM,E,4.235
Red light,1mM,E,2.466
Red light,1mM,E,2.081
Red light,1mM,E,1.874
Red light,1mM,E,2.685
Red light,1mM,E,3.079
Red light,1mM,E,1.812
Red light,1mM,E,4.278
Red light,1mM,E,2.736
Red light,1mM,E,4.809
Red light,1mM,E,2.601
Red light,1mM,E,2.836
Red light,1mM,E,4.447
Red light,1mM,E,5.602
Red light,1mM,E,4.148
Red light,1mM,E,2.545
Red light,1mM,E,4.639
Red light,1mM,E,2.834
Red light,1mM,E,1.865
Red light,1mM,E,2.139
Red light,1mM,E,1.819
Red light,30mM,F,2.34
Red light,30mM,F,5.196
Red light,30mM,F,1.732
Red light,30mM,F,0.957
Red light,30mM,F,1.998
Red light,30mM,F,1.243
Red light,30mM,F,1.266
Red light,30mM,F,3.103
Red light,30mM,F,1.831
Red light,30mM,F,2.826
Red light,30mM,F,1.884
Red light,30mM,F,1.759
Red light,30mM,F,1.999
Red light,30mM,F,2.606
Red light,30mM,F,1.867
Red light,30mM,F,1.888
Red light,30mM,F,2.754
Red light,30mM,F,2.614
Red light,30mM,F,3.11
