Day,Treatment,Group,VPD,Sugar,Time,a,da,di,Pdi,Pda,gsw
11,100 mM,d,Low VPD,Sucrose,41,3.192395356,397.3406117,192.4459757,18.58263323,38.36731233,0.025959336
11,100 mM,d,Low VPD,Sucrose,42,3.996792229,397.6828694,191.6307036,18.50378658,38.40010398,0.032332201
11,100 mM,d,Low VPD,Sucrose,43,3.988495951,397.2435146,185.2233903,17.88521471,38.35792842,0.03130574
11,100 mM,d,Low VPD,Sucrose,44,4.424580978,396.9504499,176.9921657,17.09047821,38.32979267,0.033418362
11,100 mM,d,Low VPD,Sucrose,45,4.563092578,397.0268369,228.4698321,22.06196177,38.33850106,0.045687275
11,100 mM,d,Low VPD,Sucrose,46,4.047044212,396.8816436,220.4152556,21.284719,38.32545184,0.038556481
11,100 mM,d,Low VPD,Sucrose,47,4.859999519,397.1120949,202.8702972,19.59075757,38.34827912,0.041858992
11,100 mM,d,Low VPD,Sucrose,48,5.083071538,396.6962238,208.8707636,20.16939947,38.30657996,0.045383044
11,100 mM,d,Low VPD,Sucrose,49,4.912857082,396.9543529,214.2649565,20.69005178,38.331075,0.04516902
11,100 mM,d,Low VPD,Sucrose,50,5.880960511,395.8455461,183.590806,17.72747019,38.2227208,0.046188773
11,100 mM,d,Low VPD,Sucrose,51,6.269271136,395.9197395,160.2985635,15.47825568,38.22958124,0.044141335
11,100 mM,d,Low VPD,Sucrose,52,4.814889173,396.0075143,206.4926301,19.9380207,38.23674488,0.042597178
11,100 mM,d,Low VPD,Sucrose,53,5.003906872,396.2619981,188.660031,18.21565827,38.26021392,0.04021581
